TOTALNUMBEROFRECIPIENTS,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,PROVIDERNAME,PROVIDER TYPE,PROVIDER PRIMESSPECIALTY,PROVIDER ADDR STREET1,PROVIDER ADDR STREET2,PROVIDER ADDR CITY,PROVIDER ADDR STATE,PROVIDER ZIP CODE,PROVIDER GEO LATITUDE,PROVIDER GEO LONGITUDE,DOMINANTDIAGNOSIS
178,214,1273,LA PORTE HOSPITAL COMPANY LLC,Clinic,Medical Clinic,1007 LINCOLNWAY,,LA PORTE,IN,46350,41.610089,-86.723411,Other chest pain
121,131,157820,PARKVIEW REGIONAL MED CTR-AMBULANCE,Transportation Provider,Ambulance,11109 PARKVIEW PLAZA DR,,FORT WAYNE,IN,46845,41.18753,-85.099409,Encounter for other general examination
349,914,70766,SCOTTSBURG FAMILY HEALTHCARE INC,Physician,Family Practitioner,1469 N GARDNER ST,,SCOTTSBURG,IN,47170,38.706022,-85.785214,Encntr for routine child health exam w/o abnormal findings
68,172,40328,SCHOOL CITY OF HAMMOND,School Corporation,School Corporation,41 E WILLIAMS ST,,HAMMOND,IN,46320,41.61119,-87.525393,Autistic disorder
158,393,46487,HEALTHY HORIZONS PEDIATRICS,Physician,General Pediatrician,3741 ROME DR.,STE B,LAFAYETTE,IN,47905,40.420638,-86.844673,Encntr for routine child health exam w/o abnormal findings
114,167,3336,DELAWARE COUNTY HEALTH DEPARTMENT,Public Health Agency,County Health Department,125 N MULBERRY ST,,MUNCIE,IN,47305,40.193865,-85.385336,Encntr for routine child health exam w/o abnormal findings
82,88,5236,MEDPOINT EXPRESS-ERSKINE,Clinic,Medical Clinic,926 ERSKINE PLAZA,,SOUTH BEND,IN,46614,41.627415,-86.238937,"Acute upper respiratory infection, unspecified                                                      "
186,258,37050,STEUBEN COUNTY EMS,Transportation Provider,Ambulance,205 S MARTHA ST #100,,ANGOLA,IN,46703,41.633975,-84.998109,Encounter for other general examination
138,3745,954213,TPS CAREGIVING LLC,Waiver Provider,Aged & Disabled Waiver (A&D),7560 OLD TRAILS RD,,INDIANAPOLIS,IN,46219,39.771793,-86.03416,Muscle weakness (generalized)
33,129,4814,BLUE RIVER MEDICAR,Transportation Provider,Common Carrier (Ambulatory),4427 N BILLMAN EST,,SHELBYVILLE,IN,46176,39.591014,-85.759468,"Illness, unspecified                                                                                "
251,375,42985,"PUTNAM CO OPERATION LIFE, INC.",Transportation Provider,Ambulance,513 S BLOOMINGTON ST,,GREENCASTLE,IN,46135,39.636934,-86.853952,Encounter for other general examination
52,64,952,LAWRENCE COUNTY HEALTH DEPARTMENT,Public Health Agency,County Health Department,2419 MITCHELL RD,,BEDFORD,IN,47421,38.851499,-86.492291,Encntr for routine child health exam w/o abnormal findings
168,390,25807,JAMES A RICE DO LLC,Physician,Family Practitioner,232 WALNUT ST,,MT VERNON,IN,47620,37.930879,-87.89376,Encntr for routine child health exam w/o abnormal findings
37,374,1191003,AUTUMN WOODS HEALTH CAMPUS,Extended Care Facility,Nursing Facility,2911 GREEN VALLEY RD,,NEW ALBANY,IN,47150,38.32077,-85.83653,Unspecified dementia without behavioral disturbance
165,219,55215,HARRISON COUNTY HOSPITAL-AMBULANCE,Transportation Provider,Ambulance,1141 HOSPITAL DR NW,,CORYDON,IN,47112,38.238977,-86.147744,Encounter for other general examination
59,1624,1956048,UNIQUEHAB SOLUTIONS LLC,Waiver Provider,Waiver-Community Integration and Habilitation (CIH),5508 SAINT JOE RD,,FORT WAYNE,IN,46835,41.129842,-85.100476,"Illness, unspecified                                                                                "
33,34,2031,FAYETTE MEMORIAL HOSPITAL ASSOC INC,Physician,Obstetrician/Gynecologist,3542 N WESTERN AVE,,CONNERSVILLE,IN,47331,39.676697,-85.13855,Essential (primary) hypertension
960,24889,8029293,OPPORTUNITIES FOR POSITIVE GROWTH-WAIVR,Waiver Provider,Waiver-Community Integration and Habilitation (CIH),10080 E 121ST ST   STE 112,,FISHERS,IN,46037,39.964413,-85.989229,"Illness, unspecified                                                                                "
38,56,4806,PAIN MANAGEMENT GROUP LLC,Clinic,Medical Clinic,2204 N SECTION ST,SUITE B,SULLIVAN,IN,47882,39.125697,-87.409078,Low back pain
276,465,39012,METHODIST PHYSICIANS GROUP,Clinic,Medical Clinic,8777 BROADWAY,STE C,MERRILLVILLE,IN,46410,41.459554,-87.335527,Essential (primary) hypertension
1516,3691,117693,DEACONESS HOSPITAL INC,Physician,General Internist,600 MARY ST,,EVANSVILLE,IN,47747,37.983031,-87.570695,"Chest pain, unspecified                                                                             "
41,41,337,HEALTH HERO OF INDIANA INC,Physician,General Practitioner,1411 W BELLA DR,,MARION,IN,46953,40.53252,-85.65637,Encntr for routine child health exam w/o abnormal findings
506,740,16693,PORTER COUNTY HEALTH DEPARTMENT,Public Health Agency,County Health Department,155 INDIANA AVE,STE 104,VALPARAISO,IN,46383,41.46681,-87.05903,Encntr for routine child health exam w/o abnormal findings
49,49,3843,,,,,,,,NA,NA,NA,"Myopia, bilateral                                                                                   "
156,12203,2404870,BONA VISTA PROGRAMS INC - WAIVER,Waiver Provider,MFP Demonstration Waiver Grant,1220 E LAGUNA ST,PO BOX 2496,KOKOMO,IN,46904,40.45465,-86.13656,"Illness, unspecified                                                                                "
182,205,11648,MARION CO.HLTH.DEPT/REFUGEE,Public Health Agency,County Health Department,"3838 N RURAL STREET, RM 646   ",,INDIANAPOLIS,IN,46205,39.825999,-86.116746,Encntr for routine child health exam w/o abnormal findings
166,516,6039,BALAGTAS-BALMASEDA       OFELIA       M,Physician,Physical Medicine and Rehabilitation Practitioner,4812 S 7TH STREET,,TERRE HAUTE,IN,47802,39.407793,-87.406798,Low back pain
83,2801,2294150,THE WATERS OF SCOTTSBURG,Extended Care Facility,Nursing Facility,1350 N TODD DR,,SCOTTSBURG,IN,47170,38.701788,-85.786199,Unspecified dementia with behavioral disturbance
118,1534,104355,SULLIVAN COUNTY MEDICAL TRANSPORT INC,Transportation Provider,Common Carrier (Ambulatory),791 E CO ROAD 1175 N,,FARMERSBURG,IN,47850,39.24447,-87.40208,"Illness, unspecified                                                                                "
97,400,14179,"ABLE AMBULANCE, INC.",Transportation Provider,Ambulance,700 E 3RD ST,,MARION,IN,46952,40.55881,-85.65091,End stage renal disease
203,264,48613,CITY OF NOBLESVILLE,Transportation Provider,Ambulance,135 S 9TH ST,,NOBLESVILLE,IN,46060,40.044354,-86.013504,Encounter for other general examination
56,115,3567,KISSEL                   STEVE        A,Physician,Family Practitioner,1148 INDIANAPOLIS ROAD,,GREENCASTLE,IN,46135,39.64627,-86.833832,Type 2 diabetes mellitus with hyperglycemia
378,600,51648,PROFESSIONAL EYECARE ASSOCIATES LLP,Optometrist,Optometrist,303 E 13TH ST,,HUNTINGBURG,IN,47542,38.307278,-86.960067,"Myopia, bilateral                                                                                   "
44,78,713,WALGREENS #10973,Pharmacy,Pharmacy,1530 N MERIDIAN ST,,INDIANAPOLIS,IN,46202,39.787511,-86.157287,Type 2 diabetes mellitus without complications
31,259,1031573,CHRISTIAN CARE RETIREMENT COMMUNITY,Extended Care Facility,Nursing Facility,720 E DUSTMAN RD,,BLUFFTON,IN,46714,40.757069,-85.150312,Dementia in oth diseases classd elswhr w/o behavrl disturb
773,5225,367334,EDGEWATER SYSTEMS FOR BALANCED LIVING,Mental Health Provider,Community Mental Health Center (CMHC),1100 WEST 6TH AVENUE,,GARY,IN,46402,41.60011,-87.35084,"Schizophrenia, unspecified                                                                          "
160,236,11932,NORTHSIDE GASTROENTEROLOGY,Physician,Gastroenterologist,8424 NAAB RD STE 3J,,INDIANAPOLIS,IN,46260,39.90947,-86.19834,"Dysphagia, unspecified                                                                              "
146,257,17614,AMERICAN HEALTH NETWORK OF INDIANA LLC,Clinic,Medical Clinic,520 TRACY RD,,NEW WHITELAND,IN,46184,39.564615,-86.094394,Encntr for routine child health exam w/o abnormal findings
68,698,1381426,COVINGTON MANOR HEALTH AND REHAB CENTER,Extended Care Facility,Nursing Facility,5700 WILKIE DR,,FORT WAYNE,IN,46804,41.061618,-85.212379,Dementia in oth diseases classd elswhr w behavioral disturb
1037,6854,183736,GREENHOUSE & ASSOCIATES INC,Mental Health Provider,Outpatient Mental Health Clinic,740 E 52ND ST #1,,INDIANAPOLIS,IN,46205,39.846922,-86.145195,"Major depressive disorder, single episode, unspecified                                              "
169,499,27470,GUISE                    PAUL         L,Physician,General Practitioner,6433 E WASHINGTON ST #187,,INDIANAPOLIS,IN,46219,39.771476,-86.05706,Essential (primary) hypertension
56,62,6025,ST VINCENT PEDIATRIC SUBSPECIALTIES,Physician,Pediatrician,13400 N MERIDIAN ST,,CARMEL,IN,46032,39.982981,-86.148366,Obstructive sleep apnea (adult) (pediatric)
47,1343,1308620,GOLDEN LIVING CENTER PETERSBURG,Extended Care Facility,Nursing Facility,309 W PIKE AVE,,PETERSBURG,IN,47567,38.487739,-87.292855,"Alzheimer's disease, unspecified                                                                    "
105,157,22361,DEKALB EMS,Transportation Provider,Ambulance,1316 E 7TH ST,,AUBURN,IN,46706,41.367625,-85.038411,Unspecified convulsions
348,553,48112,COMMUNITY PHYSICIANS OF INDIANA INC,Physician,Family Practitioner,333 E COUNTY LINE RD,STE B,GREENWOOD,IN,46143,39.635972,-86.098923,Encntr for routine child health exam w/o abnormal findings
193,234,23725,FRECKER OD               MELVIN       L,Optometrist,Optometrist,1402 W SPENCER AVE,,MARION,IN,46952,40.56273,-85.675843,"Myopia, bilateral                                                                                   "
42,83,9494,COMMUNITY CARE NETWORK INC,Physician,General Internist,9034 COLUMBIA AVENUE,,MUNSTER,IN,46321,41.549364,-87.504716,"Chest pain, unspecified                                                                             "
237,702,34948,FOUR COUNTY COUNSELING CENTER,Mental Health Provider,Outpatient Mental Health Clinic,408 NORTH ST,,LOGANSPORT,IN,46947,40.755141,-86.366112,"Attention-deficit hyperactivity disorder, combined type                                             "
422,879,52269,WINFIELD FAMILY MEDICINE,Clinic,Medical Clinic,9150 E 109TH AVE STE 2A,,CROWN POINT,IN,46307,41.420195,-87.224044,Encntr for routine child health exam w/o abnormal findings
31,39,3660,UNIVERSITY OF LOUISVILLE PHYSICIANS INC,Physician,General Pediatrician,601 S FLOYD ST,STE 403,LOUISVILLE,KY,40202,38.24799,-85.74921,"Hypothyroidism, unspecified                                                                         "
34,1497,184415,LIFE CHANGES LLC,Waiver Provider,Waiver-Community Integration and Habilitation (CIH),628 PINETREE DR,,MICHIGAN CITY,IN,46360,41.690367,-86.859343,Mild intellectual disabilities
107,964,3338461,INDIANA MASONIC HOME HEALTH CENTER,Extended Care Facility,Nursing Facility,690 S STATE ST,,FRANKLIN,IN,46131,39.472612,-86.044392,Unspecified dementia without behavioral disturbance
58,59,9821,GUADAGNO                 ANTHONY      J,Optometrist,Optometrist,306 E US HWY 30,,SCHERERVILLE,IN,46375,41.483775,-87.443906,"Myopia, bilateral                                                                                   "
280,1625,83167,ASSOCIATED PSYCHOLOGISTS,Mental Health Provider,Outpatient Mental Health Clinic,2901 OHIO BLVD STE 202,,TERRE HAUTE,IN,47803,39.46539,-87.37415,"Post-traumatic stress disorder, unspecified                                                         "
1564,3895,198926,BLUFFTON PHYSICIAN SERVICES LLC,Clinic,Medical Clinic,303 S MAIN STREET,,BLUFFTON,IN,46714,40.737576,-85.1715,Encntr for routine child health exam w/o abnormal findings
378,1483,97192,LIFESPAN TRANSPORTATION,Transportation Provider,Common Carrier (Non-ambulatory),33 STATE ST STE 308,,NEW ALBANY,IN,47150,38.282676,-85.822578,"Illness, unspecified                                                                                "
127,269,3586,PARIS PSYCHOLOGICAL SERVICES PC,Mental Health Provider,Health Service Provider in Psychology (HSPP),11307 NOTESTINE RD,,GRABILL,IN,46741,41.181274,-85.007781,Unspecified dementia without behavioral disturbance
133,180,11911,FRANCISCAN PHYSICIAN NETWORK,Clinic,Medical Clinic,919 MAIN ST,STE 102,DYER,IN,46311,41.522765,-87.505821,Encntr for routine child health exam w/o abnormal findings
1478,2060,187447,EMERGENCY PROFESSIONALS OF IN PC,Physician,Emergency Medicine Practitioner,3700 WASHINGTON AVE,,EVANSVILLE,IN,47714,37.9624,-87.504273,Other chest pain
2193,60679,29764,,,,,,,,NA,NA,NA,"Illness, unspecified                                                                                "
1367,12324,1225132,AGING AND IN-HOME SCVS OF NE IN (WVR),Waiver Provider,Aged & Disabled Waiver (A&D),2927 LAKE AVE,,FORT WAYNE,IN,46805,41.089987,-85.101132,"Illness, unspecified                                                                                "
3671,8559,209116,UNIVERSITY FAMILY PHYSICIANS INC,Physician,Family Practitioner,1520 N SENATE AVE,,INDIANAPOLIS,IN,46202,39.787193,-86.16302,Essential (primary) hypertension
41,190,60010,OPTION CARE,Pharmacy,Pharmacy,11403 BLUEGRASS PKWY STE 400,,LOUISVILLE,KY,40299,38.22039,-85.54527,"Dysphagia, unspecified                                                                              "
233,718,18551,BEACON MEDICAL GROUP INTERNAL MEDICINE,Physician,General Internist,1506 OSOLO RD,STE C,ELKHART,IN,46514,41.70324,-85.9467,"Chronic obstructive pulmonary disease, unspecified                                                  "
240,463,37218,"ST. VINCENT MEDICAL GROUP, INC.",Physician,General Pediatrician,2020 MERIDIAN ST #320,,ANDERSON,IN,46016,40.096188,-85.679142,Encntr for routine child health exam w/o abnormal findings
738,1542,62630,NEW CASTLE FAMILY AND INTERNAL MEDICINE,Clinic,Rural Health Clinic (RHC),2200 FOREST RIDGE PARKWAY,SUITE 310,NEW CASTLE,IN,47362,39.96812,-85.37536,Essential (primary) hypertension
296,358,26157,MEDEXPRESS URGENT CARE LAFAYETTE,Physician,General Pediatrician,102 SAGAMORE PKWY S,,LAFAYETTE,IN,47905,40.415956,-86.858085,"Acute upper respiratory infection, unspecified                                                      "
367,6292,5509144,ADAPTIVE NURSING AND HEALTHCARE SERVICES,Home Health Agency,Home Health Agency,702 N SHORE DR,STE 103,JEFFERSONVILLE,IN,47130,38.270799,-85.748393,"Chronic obstructive pulmonary disease, unspecified                                                  "
762,8457,272025,RIVER CITY YELLOW CAB CO INC,Transportation Provider,Taxi,1027 E VIRGINIA ST,,EVANSVILLE,IN,47711,37.981769,-87.547245,"Illness, unspecified                                                                                "
27,30,54344,BAPTIST HOSPITAL EAST - LOUISVILLE,Hospital,Acute Care,4007 KRESGE WAY,,LOUISVILLE,KY,40207,38.23926,-85.63922,Other chest pain
1240,1940,129383,REID ENT,Physician,"Otologist, Laryngologist, Rhinologist                                                               ",1434 CHESTER BLVD,,RICHMOND,IN,47374,39.847001,-84.888929,Encntr for routine child health exam w/o abnormal findings
113,699,51175,OPTIONS DME LLC,DME/Medical Supply Dealer,DME/Medical Supply Dealer,2434 N STATE RD 39 #C,,LAPORTE,IN,46350,41.639014,-86.738417,Obstructive sleep apnea (adult) (pediatric)
54,223,17517,EASTER SEALS REHABILITATION CENTER INC,Mental Health Provider,Outpatient Mental Health Clinic,3701 BELLEMEADE AVE,,EVANSVILLE,IN,47714,37.96766,-87.50481,"Attention-deficit hyperactivity disorder, combined type                                             "
43,392,795499,THE VANNONI LIVING CENTER,Waiver Provider,Aged & Disabled Waiver (A&D),500 LINCOLNWAY EAST,,MISHAWAKA,IN,46511,41.22006,-86.42595,"Illness, unspecified                                                                                "
559,671,70555,EVANSVILLE EYECARE ASSOCIATES INC,Optometrist,Optometrist,213 MAIN ST,,EVANSVILLE,IN,47708,37.970525,-87.57312,"Hypermetropia, bilateral                                                                            "
59,397,627991,SIMPLY BEDS LLC,DME/Medical Supply Dealer,DME/Medical Supply Dealer,4669 CASS UNION ROAD,,RISING SUN,IN,47040,38.940533,-84.979223,Unspecified convulsions
281,3106,143251,4K TRANSPORTATION,Transportation Provider,Common Carrier (Ambulatory),4904 CARRY BACK LANE,,INDIANAPOLIS,IN,46237,39.696411,-86.068509,"Illness, unspecified                                                                                "
1162,1765,160302,MARTINDALE-BRIGHTWOOD HEALTH CENTER,Clinic,Federally Qualified Health Clinic (FQHC),2855 N KEYSTONE AVE  STE 100,,INDIANAPOLIS,IN,46218,39.808088,-86.121563,Encntr for routine child health exam w/o abnormal findings
449,1012,57461,COMMUNITY HEALTH CENTERS OF MIAMI CO,Clinic,Federally Qualified Health Clinic (FQHC),661 E MAIN ST,,PERU,IN,46970,40.762254,-86.046605,Essential (primary) hypertension
109,241,13120,BEACON MEDICAL GROUP NAPPANEE,Clinic,Medical Clinic,357 N NAPPANEE ST,,NAPPANEE,IN,46550,41.445244,-86.005167,Encntr for routine child health exam w/o abnormal findings
38,1368,945172,HOPE LINK LLC,Waiver Provider,Waiver-Community Integration and Habilitation (CIH),3634 E US HIGHWAY 30,,WARSAW,IN,46580,41.219449,-85.773987,"Illness, unspecified                                                                                "
25,89,2408,LIBERATOR MEDICAL SUPPLY INC,DME/Medical Supply Dealer,DME/Medical Supply Dealer,2979 SE GRAN PARK WAY,,STUART,FL,34995,27.147181,-80.213242,Unspecified urinary incontinence
152,466,11569,BULLER                   PAUL         H,Physician,Family Practitioner,1302 COLLEGE AVENUE,SUITE 1,GOSHEN,IN,46526,41.56613,-85.816883,Essential (primary) hypertension
4513,46600,2695062,ADULT & CHILD MENTAL HEALTH CTR-CLINICA,Mental Health Provider,Community Mental Health Center (CMHC),8320 MADISON AVE,,INDIANAPOLIS,IN,46227,39.648617,-86.120537,"Attention-deficit hyperactivity disorder, combined type                                             "
54,499,893432,WESTMINSTER HEALTH CARE CENTER,Waiver Provider,Aged & Disabled Waiver (A&D),2200 GREENTREE NORTH,,CLARKSVILLE,IN,47129,38.33186,-85.76711,"Illness, unspecified                                                                                "
22,22,1115,"ESKENAZI MEDICAL GROUP, INC",Clinic,Medical Clinic,1700 N ILLINOIS ST,,INDIANAPOLIS,IN,46202,39.78947,-86.15903,Essential (primary) hypertension
76,1944,465401,HELP AT HOME INC - WINCHESTER - WVR,Waiver Provider,Aged & Disabled Waiver (A&D),221 N MAIN ST STE C,,WINCHESTER,IN,47394,40.173855,-84.98133,"Illness, unspecified                                                                                "
39,66,4625,WESTSIDE GASTROENTEROLOGY CONSULTANTS,Physician,Gastroenterologist,100 HOSPITAL LN STE 100,,DANVILLE,IN,46122,39.76174,-86.50303,"Dysphagia, unspecified                                                                              "
455,486,128507,LIFESPRING HEALTH SYSTEMS,Mental Health Provider,Community Mental Health Center (CMHC),521 JOHN STREET,,JEFFERSONVILLE,IN,47130,38.30996,-85.71878,"Illness, unspecified                                                                                "
199,212,304,INSTANT DIAGNOSTIC SYSTEMS INC,Laboratory,Independent Diagnostic Test Facility (IDTF),1740 4TH AVE SE,STE A,DECATUR,AL,35601,34.579415,-86.983105,"Chronic obstructive pulmonary disease, unspecified                                                  "
163,341,2868,RESPIRATORY CRITICAL CARE ASSOCIATES PC,Physician,Pulmonary Disease Specialist,2400 E 17TH ST,,COLUMBUS,IN,47201,39.21585,-85.89687,"Chronic obstructive pulmonary disease, unspecified                                                  "
39,45,5855,INDIANA CLINIC-NEUROLOGY LLC,Physician,Neurologist,355 W 16TH ST,STE 3200,INDIANAPOLIS,IN,46202,39.788365,-86.16213,Unspecified convulsions
1204,2392,222898,WEST HEALTH CENTER,Clinic,Federally Qualified Health Clinic (FQHC),6029 W 10TH ST,,INDIANAPOLIS,IN,46224,39.779585,-86.264735,Encntr for routine child health exam w/o abnormal findings
405,5413,200278,EDINBURGH TRANSIT AUTHORITY,Transportation Provider,Common Carrier (Ambulatory),530 1/2 SOUTH MAPLETON,,COLUMBUS,IN,47201,39.191365,-85.90068,"Illness, unspecified                                                                                "
513,986,51092,FAMILY PHYSICIANS OF JOHNSON COUNTY,Physician,Family Practitioner,1155 W JEFFERSON ST STE 101,,FRANKLIN,IN,46131,39.48091,-86.07753,Encntr for routine child health exam w/o abnormal findings
68,70,10315,TWEEDY                   JEFFREY      L,Optometrist,Optometrist,132 N MAIN ST,,TIPTON,IN,46072,40.282681,-86.041226,"Myopia, bilateral                                                                                   "
28,36,5101,PARKVIEW MEDICAL GROUP-KENDALLVILLE,Clinic,Medical Clinic,420 N SAWYER RD,,KENDALLVILLE,IN,46755,41.452773,-85.293924,"Major depressive disorder, recurrent, moderate                                                      "
47,82,1726,SUMMIT UROLOGY SPECIALTISTS,Physician,Urologist,2907 MCINTIRE DR,,BLOOMINGTON,IN,47403,39.13566,-86.569903,"Urinary tract infection, site not specified                                                         "
26,76,876,CVS PHARMACY #6487,Pharmacy,Pharmacy,2101 EAST IRELAND ROAD,,SOUTH BEND,IN,46614,41.62948,-86.21556,Type 2 diabetes mellitus without complications
100,101,2900,INDIANA UNIVERSITY HEALTH BALL MEMORIAL,Physician,Anesthesiologist,2401 W UNIVERSITY AVE,STE 200 OMP,MUNCIE,IN,47303,40.19762,-85.41357,Unspecified abdominal pain
271,412,77160,GOSHEN FIRE DEPT EMS,Transportation Provider,Ambulance,209 NORTH THIRD STREET,,GOSHEN,IN,46526,41.588316,-85.836145,Encounter for other general examination
157,170,21146,SARAH H APPEL OD,Optometrist,Optometrist,230 W 3RD ST,,MT VERNON,IN,47620,37.930819,-87.896792,"Myopia, bilateral                                                                                   "
33,105,3581,HERBERT P TRIER,Physician,Psychiatrist,ASSOCIATED PSYCHIATRIC SERVICE,310 E DUPONT RD STE 2,FORT WAYNE,IN,46825,41.15159,-85.12566,Generalized anxiety disorder
31,42,3781,STEVEN G BLACK OD PC,Optometrist,Optometrist,4424 S 7TH ST,,TERRE HAUTE,IN,47802,39.413782,-87.40683,"Myopia, bilateral                                                                                   "
50,71,5582,EST INC,Optometrist,Optometrist,1154 S RIPLEY ESTATES DR,,VERSAILLES,IN,47042,39.059797,-85.253676,"Myopia, bilateral                                                                                   "
24,27,2311,INDIANA CLINIC NEUROLOGY LLC,Physician,Neurologist,575 RILEY HOSPITAL DR MSA 1,,INDIANAPOLIS,IN,46202,39.77606,-86.18138,Unspecified convulsions
104,120,10774,INSIGHT EYECARE ASSOCIATES INC,Optometrist,Optometrist,8010 OAK PARK RD,,NEW SALISBURY,IN,47161,38.316623,-86.08799,"Hypermetropia, bilateral                                                                            "
459,1471,151644,PEDIATRICS CENTER LLC,Physician,General Pediatrician,312 N THIRD AVE,,PRINCETON,IN,47670,38.358993,-87.58877,Encntr for routine child health exam w/o abnormal findings
33,39,2407,IU HEALTH SOUTHERN IND PHYSICIANS INC,Physician,Cardiologist,1312 W ARCH HAVEN AVE STE A,,BLOOMINGTON,IN,47403,39.160905,-86.553652,Athscl heart disease of native coronary artery w/o ang pctrs
54,156,5977,CANCER HEALTH TREATMENT CENTERS PC,Physician,Oncologist,1630 45TH AVE,,MUNSTER,IN,46321,41.537686,-87.490274,"Anemia, unspecified                                                                                 "
196,577,5792,ARM SPECIALISTS LLC,Physician,General Internist,8103 E US HIGHWAY 36,# 228,AVON,IN,46123,39.763073,-86.379461,Essential (primary) hypertension
149,252,16839,FRANCISCAN PHYSICIAN NETWORK,Physician,Family Practitioner,840 RICHARD RD STE 2,,DYER,IN,46311,41.491421,-87.508263,Encntr for routine child health exam w/o abnormal findings
27,31,897,KENNEKUK EMERGENCY PHYSICIANS LLC,Physician,Emergency Medicine Practitioner,812 N LOGAN AVE,,DANVILLE,IL,61832,40.13575,-87.6449,"Acute upper respiratory infection, unspecified                                                      "
1919,24734,4727686,REGIONAL MENTAL HEALTH CENTER,Mental Health Provider,Community Mental Health Center (CMHC),8555 TAFT ST,,MERRILLVILLE,IN,46410,41.462063,-87.364943,"Schizoaffective disorder, unspecified                                                               "
71,310,14001,BE LOVED TRANSPORTATION INC,Transportation Provider,Common Carrier (Ambulatory),1810 W MARQUIS DR,,BLOOMINGTON,IN,47404,39.177918,-86.555044,"Illness, unspecified                                                                                "
31,46,1064,CENTER FOR EAR NOSE THROAT & ALLERGY PC,Physician,General Internist,1115 RONALD REAGAN PARKWAY,,AVON,IN,46123,39.778651,-86.34355,Obstructive sleep apnea (adult) (pediatric)
65,680,17286,ADAMS PHYSICAL THERAPY SERVICES INC,Therapist,Physical Therapist,111 W NORTH ST,,PORTLAND,IN,47371,40.438267,-84.978173,Low back pain
89,170,12248,ST VINCENT EVANSVILLE MEDICAL GROUP,Physician,Family Practitioner,105 S SECOND ST,,ROCKPORT,IN,47635,37.883153,-87.04606,Encntr for routine child health exam w/o abnormal findings
777,1321,97072,IU HEALTH SOUTHERN INDIANA PHYS INC,Physician,Emergency Medicine Practitioner,601 W SECOND STREET,,BLOOMINGTON,IN,47403,39.1614,-86.539915,"Chest pain, unspecified                                                                             "
34,44,9112,SUGAR CREEK TOWNSHIP FIRE DEPARTMENT,Transportation Provider,Ambulance,3545 S 600 W,,NEW PALESTINE,IN,46163,39.736428,-85.913862,Encounter for other general examination
370,413,20643,CHARLES H COLE OD & ASSOCIATES PC,Optometrist,Optometrist,2934 E FRONTAGE RD,,WARSAW,IN,46580,41.23657,-85.812591,"Myopia, bilateral                                                                                   "
