PROVIDERNAME,PROVIDERPRIMESPECIALTY,CATEGORYOFSERVICES,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,TOTALNUMBEROFRECIPIENTS
A AND E DIAGNOSTIC IMAGING LLC,Radiologist,12 - X-Ray Services,39,1240,24
A DENTAL TOUCH LLC,General Dentistry Practitioner,27 - Dental Services - Child,402,65490,27
A DENTAL TOUCH LLC,General Dentistry Practitioner,28 - Dental Services - Adult,415,59042,25
A L DEHAVEN DDSS LLC,General Dentistry Practitioner,27 - Dental Services - Child,221,29727,39
A L DEHAVEN DDSS LLC,General Dentistry Practitioner,28 - Dental Services - Adult,718,167024,99
A NEW SMILE PC,General Dentistry Practitioner,27 - Dental Services - Child,1199,149134,36
A NEW SMILE PC,General Dentistry Practitioner,28 - Dental Services - Adult,1098,141994,65
A STEP AHEAD PEDIATRIC THERAPY,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,390,33166,25
"A STEP AHEAD PEDIATRIC THERAPY, INC",Therapy Clinic,26 - Mental Health Services,4549,358788,33
A&A DENTAL CENTER,General Dentistry Practitioner,27 - Dental Services - Child,424,109251,46
A&A DENTAL CENTER,General Dentistry Practitioner,28 - Dental Services - Adult,1364,373426,210
A1 MEDICAID DENTAL GROUP OF KNOX CO INC,Dental Clinic,27 - Dental Services - Child,1509,220273,22
A1 MEDICAID DENTAL GROUP OF KNOX CO INC,Dental Clinic,28 - Dental Services - Adult,280,71608,222
AAPOLO SPINE & PAIN MANAGEMENT,Anesthesiologist,06 - Physician Services,108,2999,50
ABC PEDIATRICS PC,General Pediatrician,06 - Physician Services,4166,485078,715
ABC PEDIATRICS PC,General Pediatrician,38 - EPSDT Services,170,15553,422
ABDULATEEF OLASUNKANMI AREGBE,General Practitioner,06 - Physician Services,121,1589,107
ABG DENTAL OF ELKHART,General Dentistry Practitioner,27 - Dental Services - Child,1628,300596,46
ABG DENTAL OF ELKHART,General Dentistry Practitioner,28 - Dental Services - Adult,3265,645451,51
ABG DENTAL OF GOSHEN,General Dentistry Practitioner,27 - Dental Services - Child,1808,305727,137
ABG DENTAL OF GOSHEN,General Dentistry Practitioner,28 - Dental Services - Adult,1767,302822,236
ABOITE EYE CARE PC,Ophthalmologist,31 - Eye Care and Exams,115,6061,28
ABOITE HEALTH CENTER INC,Medical Clinic,17 - Clinic Services,318,30165,388
ABRAMS EYECARE ASSOCIATES,Ophthalmologist,12 - X-Ray Services,28,1167,116
ABRAMS EYECARE ASSOCIATES,Ophthalmologist,31 - Eye Care and Exams,2903,265342,26
ABRAMS EYECARE ASSOCIATES,Ophthalmologist,31 - Eye Care and Exams,593,72064,64
ABRAMS EYECARE ASSOCIATES,Ophthalmologist,31 - Eye Care and Exams,563,67205,31
ABRELL                   THOMAS       C,General Dentistry Practitioner,27 - Dental Services - Child,360,43022,75
ABRELL                   THOMAS       C,General Dentistry Practitioner,28 - Dental Services - Adult,822,137146,45
ABSOLUTE PAIN MANAGEMENT LLC,Anesthesiologist,06 - Physician Services,338,39284,132
ABUNDANT HEALTH FAMILY MEDICINE,General Practitioner,06 - Physician Services,613,30039,1594
ABUNDANT HEALTH FAMILY MEDICINE,General Practitioner,38 - EPSDT Services,26,2275,139
ACACIA CTR FOR HUMAN GROWTH AND DEV,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,3810,142667,34
ACADEMY ALLERGY ASTHMA & SINUS PC,Allergist,06 - Physician Services,81,5346,52
ACCELECARE WOUND PROFESSIONALS,Medical Clinic,17 - Clinic Services,1224,12033,24
ACCESS BEHAVIOR ANALYSIS,Outpatient Mental Health Clinic,26 - Mental Health Services,479,370335,46
ACCESS2INTERGRATION,Medical Clinic,17 - Clinic Services,130,2976,32
"ACCREDITED ASTHMA AND ALLERGY CARE, PSC",Allergist,06 - Physician Services,311,52347,468
ACESO VISITING PHYSICIANS AND GERIATRIC,Medical Clinic,17 - Clinic Services,927,7458,85
ACHIEVING BALANCE COUNSELING CENTER,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,435,34775,923
ACHILLES PODIATRY GROUP,Podiatrist,12 - X-Ray Services,45,3468,115
ACT 3 CARE LLC,Medical Clinic,17 - Clinic Services,1893,45209,127
ACTIVE PODIATRY PC,Podiatrist,12 - X-Ray Services,109,5285,27
ACTIVECARE MEDICAL,Physical Medicine and Rehabilitation Practitioner,06 - Physician Services,114,27926,222
ACUITY EYECARE & EYEWEAR,Medical Clinic,17 - Clinic Services,195,42788,30
ACUTE MEDICAL CARE INC,Rural Health Clinic (RHC),17 - Clinic Services,5223,315671,828
ACUTE MEDICAL CARE INC,Rural Health Clinic (RHC),38 - EPSDT Services,129,11369,307
ADAMS CO MEMORIAL HOSPITAL,Acute Care,01 - Inpatient Services,278,575827,225
ADAMS CO MEMORIAL HOSPITAL,Acute Care,03 - Outpatient Services,8993,1119871,847
ADAMS COUNTY HEALTH DEPARTMENT,County Health Department,06 - Physician Services,99,2395,83
ADAMS MEDICAL GROUP,Emergency Medicine Practitioner,06 - Physician Services,6625,451749,26
ADAMS MEDICAL GROUP,Emergency Medicine Practitioner,11 - Lab Services,24,1175,86
ADAMS MEDICAL GROUP,Emergency Medicine Practitioner,12 - X-Ray Services,58,322,106
ADAMS MEDICAL GROUP,Emergency Medicine Practitioner,38 - EPSDT Services,172,14976,51
ADAMS MEDICAL GROUP,Family Practitioner,06 - Physician Services,116,5163,54
ADEEL                    MOHAMMED     S,Neurologist,06 - Physician Services,318,31434,49
ADEKUGBE                 OLUBUNMI,General Dentistry Practitioner,27 - Dental Services - Child,38,4485,376
ADEKUGBE                 OLUBUNMI,General Dentistry Practitioner,28 - Dental Services - Adult,502,114520,159
ADEL M BICHIR PEDIATRICS,General Pediatrician,06 - Physician Services,3498,310568,46
ADEL M BICHIR PEDIATRICS,General Pediatrician,11 - Lab Services,146,13191,128
ADEL M BICHIR PEDIATRICS,General Pediatrician,38 - EPSDT Services,59,4127,40
ADMIRAL MEDICAL GROUP,Nurse Practitioner Clinic,17 - Clinic Services,38,8370,224
ADOLESCENT & PEDIATRIC DENTISTRY PC,Pediatric Dentist,27 - Dental Services - Child,3813,612003,139
ADULT & CHILD MENTAL HEALTH CTR,Outpatient Mental Health Clinic,26 - Mental Health Services,257287,25838037,61
ADULT & CHILD MENTAL HEALTH CTR-CLINICA,Community Mental Health Center (CMHC),26 - Mental Health Services,60806,3008989,105
ADULT AND CHILD HEALTH SERVICES,Medical Clinic,17 - Clinic Services,98,2770,59
ADULT MEDICAL SPECIALIST,Orthopedic Surgeon,06 - Physician Services,19296,1496729,482
ADULT MEDICAL SPECIALIST,Orthopedic Surgeon,06 - Physician Services,175,88655,30
ADULT MEDICAL SPECIALIST,Orthopedic Surgeon,11 - Lab Services,146,7211,140
ADULT MEDICAL SPECIALIST,Orthopedic Surgeon,38 - EPSDT Services,937,82796,143
ADV ENDOCRINOLOGY & DIABETES CTR PC,General Internist,06 - Physician Services,322,24136,336
ADV ENDOCRINOLOGY & DIABETES CTR PC,General Internist,06 - Physician Services,344,347,34
ADVANCED CARE MEDICAL SPECIALISTS PC,General Internist,06 - Physician Services,815,11183,38
ADVANCED DENTAL CARE OF ANDERSON LLC,General Dentistry Practitioner,27 - Dental Services - Child,425,57913,161
ADVANCED DENTAL CARE OF ANDERSON LLC,General Dentistry Practitioner,28 - Dental Services - Adult,149,27390,29
ADVANCED DENTAL LLC,General Dentistry Practitioner,27 - Dental Services - Child,332,43731,33
ADVANCED DENTAL LLC,General Dentistry Practitioner,28 - Dental Services - Adult,1261,239793,158
ADVANCED DIAGNOSTIC IMAGING,Radiologist,06 - Physician Services,654,83500,54
ADVANCED DIAGNOSTIC IMAGING,Radiologist,12 - X-Ray Services,364,16043,108
ADVANCED ENT AND ALLERGY,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,557,49730,126
ADVANCED ENT AND ALLERGY,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,5611,571155,120
ADVANCED ENT AND ALLERGY,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,5183,173193,89
ADVANCED ENT AND ALLERGY,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,48,7571,70
ADVANCED FAMILY DENTISTRY OF MUNCIE,General Dentistry Practitioner,27 - Dental Services - Child,279,89342,66
ADVANCED FAMILY DENTISTRY OF MUNCIE,General Dentistry Practitioner,28 - Dental Services - Adult,1236,463046,278
ADVANCED HEALTHCARE ASSOCIATES LLP,General Internist,06 - Physician Services,21658,355982,24
ADVANCED HEART & LUNG CARE CLINIC,Cardiologist,06 - Physician Services,84,3334,167
ADVANCED HEART AND LUNG CARE CLINIC,Cardiologist,06 - Physician Services,65,1879,68
ADVANCED HEART AND LUNG CARE CLINIC,Cardiologist,06 - Physician Services,37,1953,252
ADVANCED HEART AND LUNG CARE CLINIC,Cardiologist,06 - Physician Services,112,3422,197
ADVANCED HEART CARE CTR,Cardiologist,06 - Physician Services,162,5533,46
ADVANCED IMAGING CENTER L.L.C.,Radiologist,06 - Physician Services,205,28262,53
ADVANCED IMAGING CENTER L.L.C.,Radiologist,12 - X-Ray Services,129,7405,68
ADVANCED MEDICAL COMPUTING,Outpatient Mental Health Clinic,26 - Mental Health Services,242,20076,24
ADVANCED MEDICAL IMAGING LLC,Freestanding X-Ray Clinic,12 - X-Ray Services,701,82528,43
ADVANCED OPHTHALMOLOGY OF MICHIANA LLC,Ophthalmologist,11 - Lab Services,22,933,1589
ADVANCED OPHTHALMOLOGY OF MICHIANA LLC,Ophthalmologist,12 - X-Ray Services,53,3501,162
ADVANCED OPHTHALMOLOGY OF MICHIANA LLC,Ophthalmologist,31 - Eye Care and Exams,4101,299617,247
ADVANCED PAIN & ANES CONSULTANTS PC,Anesthesiologist,06 - Physician Services,2982,237442,75
ADVANCED PAIN & ANES CONSULTANTS PC,Anesthesiologist,06 - Physician Services,475,48009,27
ADVANCED PAIN & ANES CONSULTANTS PC,Anesthesiologist,06 - Physician Services,84,10685,663
ADVANCED PAIN CARE CLINIC PSC,Anesthesiologist,06 - Physician Services,7949,414088,3620
ADVANCED PAIN CARE CLINIC PSC,Anesthesiologist,11 - Lab Services,463,88581,1215
ADVANCED PAIN CARE CLINIC PSC,Anesthesiologist,06 - Physician Services,4477,650669,102
ADVANCED PAIN CARE CLINIC PSC,Anesthesiologist,11 - Lab Services,78,0,27
ADVANCED PAIN MANAGEMENT OF INDIANA,Medical Clinic,17 - Clinic Services,253,13974,34
ADVANCED PAIN SPECIALISTS PSC,Medical Clinic,17 - Clinic Services,491,43142,238
ADVANCED PAIN SPECIALISTS PSC,Medical Clinic,17 - Clinic Services,420,58720,68
ADVANCED PAIN SPECIALISTS PSC,Medical Clinic,17 - Clinic Services,3631,380338,8872
ADVANCED PREFERRED IMAGING PSC,Radiologist,06 - Physician Services,111,4329,617
ADVANCED PREFERRED IMAGING PSC,Radiologist,12 - X-Ray Services,108,1734,1691
ADVANCED SURGERY OF INDIANA,Allergist,06 - Physician Services,598,56486,52
ADVANCED SURGICAL ASSOCIATES LLC,General Surgeon,06 - Physician Services,1142,175775,86
ADVANCED UROLOGY LLC,Urologist,06 - Physician Services,80,1175,93
ADVANCED VISION ASSOCIATES LLC,Ophthalmologist,31 - Eye Care and Exams,273,18815,988
ADVANCED VISION CARE CENTER,Optometrist,31 - Eye Care and Exams,155,23157,255
ADVANCED VISION CARE CENTER LLC,Medical Clinic,17 - Clinic Services,23,4206,96
ADVANTAGE DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,240,33224,396
ADVANTAGE DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,2635,628692,5621
ADVANTAGE DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,462,46622,1012
ADVANTAGE DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,273,91245,167
ADVOCATE CHRIST HOSPITAL & MEDICAL CENT,Acute Care,01 - Inpatient Services,138,3518713,503
ADVOCATE CHRIST HOSPITAL & MEDICAL CENT,Acute Care,03 - Outpatient Services,208,60269,227
ADVOCATE HEALTH & HOSPITALS CORPORATION,Medical Clinic,17 - Clinic Services,853,44541,1038
ADVOCATE HEALTH & HOSPITALS CORPORATION,Medical Clinic,17 - Clinic Services,451,28402,40
ADVOCATE MEDICAL GROUP,Medical Clinic,17 - Clinic Services,739,96281,52
ADVOCATE MEDICAL GROUP,Medical Clinic,17 - Clinic Services,33,1862,641
ADVOCATE MEDICAL GROUP,Medical Clinic,17 - Clinic Services,30,557,109
"AFAQ MEDICAL SERVICES, LLC",Psychiatrist,26 - Mental Health Services,2020,343156,54
AFFILIATED ANKLE & FOOT PODIATRY CLINIC,Medical Clinic,17 - Clinic Services,974,57107,16757
AFFILIATED FOOT CLINIC,Podiatrist,12 - X-Ray Services,31,1348,982
AFFORDABLE DENTAL CARE,General Dentistry Practitioner,27 - Dental Services - Child,101,13605,1656
AFFORDABLE DENTAL CARE,General Dentistry Practitioner,28 - Dental Services - Adult,450,72659,5695
AFFORDABLE DENTAL EAST,General Dentistry Practitioner,27 - Dental Services - Child,159,21429,1323
AFFORDABLE DENTAL EAST,General Dentistry Practitioner,28 - Dental Services - Adult,146,28554,6470
AFFORDABLE DENTAL WEST,General Dentistry Practitioner,27 - Dental Services - Child,232,57516,105
AFFORDABLE DENTAL WEST,General Dentistry Practitioner,28 - Dental Services - Adult,571,179326,48
AFFORDABLE DENTURES -TERRE HAUTE PC,General Dentistry Practitioner,28 - Dental Services - Adult,1110,348358,4599
AFFORDABLE DENTURES FT WAYNE PC,General Dentistry Practitioner,28 - Dental Services - Adult,585,415456,67
AFFORDABLE DENTURES LAFAYETTE PC,General Dentistry Practitioner,28 - Dental Services - Adult,346,85593,611
AFFORDABLE DENTURES MUNCIE PC,General Dentistry Practitioner,28 - Dental Services - Adult,767,372866,4334
AFFORDABLE DENTURES- SOUTH BEND PC,General Dentistry Practitioner,28 - Dental Services - Adult,375,102519,1100
"AFFORDABLE DENTURES-EVANSVILLE V, P.C.",General Dentistry Practitioner,28 - Dental Services - Adult,200,105400,290
AFFORDABLE DENTURES-FRANKLIN PC,General Dentistry Practitioner,28 - Dental Services - Adult,1146,636332,1409
AFFORDABLE DENTURES-MERRILLVILLE PC,General Dentistry Practitioner,28 - Dental Services - Adult,70,25152,25
AFFORDABLE SMILES,General Dentistry Practitioner,27 - Dental Services - Child,388,42692,222
AFFORDABLE SMILES,General Dentistry Practitioner,28 - Dental Services - Adult,1822,193738,52
AFTER HOURS CARE,Medical Clinic,17 - Clinic Services,2815,167589,530
"AFTER HOURS DENTAL CENTER, LLC",General Dentistry Practitioner,27 - Dental Services - Child,28,8136,140
"AFTER HOURS DENTAL CENTER, LLC",General Dentistry Practitioner,28 - Dental Services - Adult,57,14906,679
AGAPE COUNSELING & HUMAN SERVICES LLC,Health Service Provider in Psychology (HSPP),26 - Mental Health Services,1379,116158,257
AGAPE OBGYN PC,Obstetrician/Gynecologist,06 - Physician Services,817,114650,667
AGAPE OBGYN PC,Obstetrician/Gynecologist,06 - Physician Services,462,77941,4439
AGUSTI MEDICAL CORPORATION,General Internist,06 - Physician Services,1380,21044,165
AKARD                    SARAH,General Dentistry Practitioner,27 - Dental Services - Child,155,15688,87
AKARD                    SARAH,General Dentistry Practitioner,28 - Dental Services - Adult,299,42392,58
AKRON DENTAL CARE,General Dentistry Practitioner,27 - Dental Services - Child,528,69606,33
AKRON DENTAL CARE,General Dentistry Practitioner,28 - Dental Services - Adult,432,67836,109
AKRON MEDICAL CENTER,Medical Clinic,17 - Clinic Services,1439,84591,45
AKRON MEDICAL CENTER,Medical Clinic,38 - EPSDT Services,63,5676,139
ALAN L SCHWARTZ MD PC,General Pediatrician,06 - Physician Services,865,97425,73
ALAN LENIG OD INC,Optometrist,31 - Eye Care and Exams,67,6497,3002
ALAN LENIG OD INC,Optometrist,31 - Eye Care and Exams,269,21077,159
ALBANY DENTAL CARE,General Dentistry Practitioner,27 - Dental Services - Child,159,15893,1594
ALBANY DENTAL CARE,General Dentistry Practitioner,28 - Dental Services - Adult,196,33610,460
ALBERTSON FAMILY AND SPORTS MEDICINE,Family Practitioner,06 - Physician Services,1058,57891,228
ALDERMAN                 ROBERT       P,Oral Surgeon,28 - Dental Services - Adult,53,22464,281
ALDRICH PEDIATRIC DENTISTRY LLC,Pediatric Dentist,27 - Dental Services - Child,554,66643,329
ALDULESCU                DANIEL       P,General Dentistry Practitioner,27 - Dental Services - Child,27,8294,29
ALDULESCU                DANIEL       P,General Dentistry Practitioner,28 - Dental Services - Adult,1085,374110,38
ALESIA D BROWN DMD PC,General Dentistry Practitioner,27 - Dental Services - Child,396,44896,91
ALESIA D BROWN DMD PC,General Dentistry Practitioner,28 - Dental Services - Adult,515,74429,91
"ALEX MISHEL DDS, PC",General Dentistry Practitioner,27 - Dental Services - Child,325,45010,1579
"ALEX MISHEL DDS, PC",General Dentistry Practitioner,28 - Dental Services - Adult,841,131391,167
ALI M DOHAN MD INC/GREENWOOD INTERNAL,General Practitioner,06 - Physician Services,187,1596,41
ALICIA REED THOMAS O.D.,Optometrist,31 - Eye Care and Exams,775,91691,1705
ALIVIO HEALTH PC,General Dentistry Practitioner,27 - Dental Services - Child,593,66391,38
ALJANDALI                ASAAD,General Internist,06 - Physician Services,64,14867,89
ALL CARE HEALTH & REHABILITATION CTR,Chiropractor,12 - X-Ray Services,46,6081,41
ALL SMILES DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,898,105395,214
ALLAN L REID PSC,Oral Surgeon,06 - Physician Services,26,4145,174
ALLAN L REID PSC,Oral Surgeon,27 - Dental Services - Child,588,314043,80
ALLAN L REID PSC,Oral Surgeon,28 - Dental Services - Adult,2913,1172827,154
ALLCARE RHEUMATOLOGY LLC,General Internist,06 - Physician Services,484,126794,83
ALLEN                    JEFFREY      T,General Dentistry Practitioner,27 - Dental Services - Child,95,11737,56
ALLEN COUNTY CARDIOLOGY LLC,General Internist,06 - Physician Services,3371,359952,323
ALLEN COUNTY INTERNAL MEDICINE,General Internist,06 - Physician Services,1240,13251,112
ALLEN COUNTY RETINAL SURGEONS PC,Ophthalmologist,31 - Eye Care and Exams,1116,285721,90
ALLEN R LINNEMEIER,General Dentistry Practitioner,27 - Dental Services - Child,57,5571,267
ALLEN R LINNEMEIER,General Dentistry Practitioner,28 - Dental Services - Adult,202,23747,1521
ALLERGY & ASTHMA CARE INC,Allergist,06 - Physician Services,1552,86673,79
ALLERGY & ASTHMA OF SOUTHERN IN-BLOOMIN,Medical Clinic,17 - Clinic Services,4039,316089,1768
ALLERGY & ASTHMA SPECIALISTS,Allergist,06 - Physician Services,49,6412,190
"ALLERGY AND ASTHMA CENTER PC, THE",Family Practitioner,06 - Physician Services,5805,904576,4053
"ALLERGY AND ASTHMA CENTER PC, THE",Allergist,06 - Physician Services,82,17640,47
"ALLERGY AND ASTHMA CENTER PC, THE",Allergist,06 - Physician Services,137,23337,189
ALLERGY ASSOCIATES PC,Allergist,06 - Physician Services,1540,116036,497
ALLERGY ASTHMA AND IMMUNOLOGY ASSOCIATE,Allergist,06 - Physician Services,1423,110749,5646
ALLERGY ASTHMA CARE PC,Allergist,06 - Physician Services,144,11423,950
ALLERGY ASTHMA CARE PC,Allergist,06 - Physician Services,1061,68470,63
ALLERGY PARTNERS  OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,488,43743,82
ALLERGY PARTNERS OF CENTRAL IN PC-CLOSE,Allergist,06 - Physician Services,257,20187,50
ALLERGY PARTNERS OF CENTRAL INDIANA,Allergist,06 - Physician Services,329,29408,163
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,1138,91949,232
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,8906,666824,37
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,148,18151,61
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,370,18934,83
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,90,7285,51
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,209,11193,458
ALLERGY PARTNERS OF CENTRAL INDIANA PC,Allergist,06 - Physician Services,565,32020,162
ALLEY                    JONATHAN     E,Family Practitioner,06 - Physician Services,256,18944,63
ALLEY                    JONATHAN     E,Family Practitioner,38 - EPSDT Services,45,4088,63
ALLIED BONE AND JOINT,Orthopedic Surgeon,06 - Physician Services,163,75961,70
ALLIED BONE AND JOINT,Orthopedic Surgeon,12 - X-Ray Services,36,742,25
ALLIED BONE AND JOINT,Orthopedic Surgeon,06 - Physician Services,376,44254,3766
ALLIED BONE AND JOINT,Orthopedic Surgeon,12 - X-Ray Services,67,791,20653
ALLIED BONE AND JOINT,Orthopedic Surgeon,06 - Physician Services,887,82148,143
ALLIED BONE AND JOINT,Orthopedic Surgeon,12 - X-Ray Services,106,1411,7648
ALLIED BONE AND JOINT,Podiatrist,12 - X-Ray Services,162,12308,364
ALLIED ENT SPECIALTY CENTER,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,402,52698,82
ALLIED ENT SPECIALTY CENTER,"Otologist, Laryngologist, Rhinologist                                                               ",06 - Physician Services,1651,197525,3935
ALLIED HOSPITAL PATHOLOGISTS,Pathologist,06 - Physician Services,31,1842,2653
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,06 - Physician Services,68,4697,1863
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,11 - Lab Services,32,1669,44
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,06 - Physician Services,103,7652,52
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,11 - Lab Services,25,1150,405
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,06 - Physician Services,56,4360,204
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,11 - Lab Services,55,2015,282
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,06 - Physician Services,67,3450,44
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,06 - Physician Services,167,11414,904
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,11 - Lab Services,37,1397,156
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,06 - Physician Services,57,4740,24
ALLIED HOSPITAL PATHOLOGISTS PC,Pathologist,11 - Lab Services,342,15216,140
"ALLIED HOSPITAL PATHOLOGISTS, PC",Pathologist,06 - Physician Services,2701,192524,1441
"ALLIED HOSPITAL PATHOLOGISTS, PC",Pathologist,11 - Lab Services,2505,61347,224
ALLIED IMAGING - 2520 LAKE AVE,Neurological Surgeon,06 - Physician Services,48,9981,67
ALLIED IMAGING - 2520 LAKE AVE,Neurological Surgeon,12 - X-Ray Services,152,12875,74
ALLIED PHYSICIANS INC,Cardiovascular Surgeon,06 - Physician Services,10623,1123779,128
ALLIED PHYSICIANS INC,Cardiovascular Surgeon,06 - Physician Services,5080,894846,205
ALLISONVILLE DENTAL CENTRE,General Dentistry Practitioner,27 - Dental Services - Child,51,5557,352
ALLISONVILLE INTEGRATIVE HEALTH SVCS,Medical Clinic,17 - Clinic Services,264,19242,54
ALLUSION DENTAL INC,General Dentistry Practitioner,27 - Dental Services - Child,208,47636,121
ALLUSION DENTAL INC,General Dentistry Practitioner,28 - Dental Services - Adult,625,133468,40
ALNAHASS                 MAHMOOD      G,Neurologist,06 - Physician Services,88,3378,40
ALPINE CLINIC LLC,Outpatient Mental Health Clinic,26 - Mental Health Services,922,93310,298
ALPINE WOODS FAMILY DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,1039,164322,389
ALPINE WOODS FAMILY DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,178,57286,35
ALVAREZ VISION SERVICES PC,Optometrist,31 - Eye Care and Exams,996,113853,269
ALZEIDAN                 FADI,Family Practitioner,06 - Physician Services,193,19163,25
"AMAZING DENTAL AFTER HOURS, LLC",General Dentistry Practitioner,28 - Dental Services - Adult,348,51033,275
AMAZING FAMILY DENTAL PC,General Dentistry Practitioner,27 - Dental Services - Child,423,55497,22
AMAZING FAMILY DENTAL PC,General Dentistry Practitioner,28 - Dental Services - Adult,422,97427,489
AMBASSADOR HEALTHCARE,Medical Clinic,17 - Clinic Services,899,15431,1539
AMBUCARE CLINIC,Medical Clinic,17 - Clinic Services,5823,435606,159
AMBUCARE CLINIC,Medical Clinic,38 - EPSDT Services,140,12742,38
AMERICAN ANESTHESIOLOGY ASSOC OF IL SC,Anesthesiologist,06 - Physician Services,2076,337396,27
AMERICAN ANESTHESIOLOGY ASSOC OF IL SC,Anesthesiologist,06 - Physician Services,428,54458,1972
AMERICAN ANESTHESIOLOGY ASSOC OF IL SC,Anesthesiologist,06 - Physician Services,2558,101593,135
AMERICAN ASSOC OF VISITING PHYSICIANS,Family Practitioner,06 - Physician Services,131,613,65
AMERICAN DIAGNOSTICS SERVICES INC,Mobile X-Ray Clinic,12 - X-Ray Services,4227,55317,748
AMERICAN HEALTH ASSOCIATES,Independent Lab,11 - Lab Services,1000,1679,712
AMERICAN HEALTH ASSOCIATES,Independent Lab,11 - Lab Services,334,2219,69
AMERICAN HEALTH NETWORK IN LLC,Family Practitioner,06 - Physician Services,65,1920,71
